Department,Course,Name,Units,Description,Prereqs,Satisfies,Grading,Repeatable,Crosslist,Sustainability,Notes
CHE,109,Heat Transfer in Electronics,3 unit(s),"Introduction to thermodynamics and heat transfer, including conduction, convection and radiation. An emphasis on applications for electronics; including heat transfer in computer components, heat sinks, liquid and air cooling and heat pipes.","Prerequisite(s): EE 98, PHYS 51 and one of the following courses: MATH 39 or MATH 33LA . Allowed Declared Majors: Computer Engineering, Electrical Engineering, Engineering, Industrial and Systems Engineering.",,Grading: Letter Graded,,Cross-listed with ME 109. Chemical Engineering is responsible for scheduling.,,
CHE,110A,Mathematical Methods in Chemical Engineering,2 unit(s),"Mathematical methods applied to engineering problems using chemical engineering examples. The development of mathematical models to describe chemical process dynamic behavior. Mathematical methods focus on linear algebra, ordinary differential equations and partial differential equations with specific applications to chemical engineering.","Prerequisite(s): MATH 32 or MATH 32H or MATH 32X, and PHYS 51 with grade C or better.",,Grading: Letter Graded,,,,
CHE,110B,Computational Methods in Chemical Engineering,2 unit(s),"Computational methods applied to engineering problems using chemical engineering examples. The solution of mathematical models to describe chemical process dynamic behavior. Computational tools focus on MATLAB, CAD design and simulation packages with specific applications to chemical engineering.",Prerequisite(s): CHE 110A with a grade of “C-” or better or instructor consent,,Grading: Letter Graded,,,,
CHE,115,Industrial Chemical Calculations,3 unit(s),Methods of formulation and solution of material and energy balances as applied to chemical processes.,Prerequisite(s): PHYS 51 (with a grade of “C-” or better); MATH 33A. ,,Grading: Letter Graded,,,,
CHE,131,Air Pollution Meteorology,3 unit(s),"Quantitative description of contaminants in the atmosphere: sources, dispersion and sinks; their effects on atmospheric energy balance and condensation.",Prerequisite(s): METR 121B or instructor consent.,,Grading: Letter Graded,,Cross-listed with ENVS 131 / METR 131. Meteorology and Climate Science is responsible for scheduling.,Sustainability Focused - SDG 3: Good Health and Well-Being ,
CHE,133,Sustainable Engineering,3 unit(s),"Concepts of sustainable system design in engineering with an emphasis on measuring sustainability, designing for sustainability, and implementing sustainability. Applications include a chemical focus that incorporates process engineering fundamentals and green chemistry principles.","Prerequisite(s): CHE 110A or MATH 33LA with a grade of C- or better, instructor consent.",,Grading: Letter Graded,,,,
CHE,137,Pollution Control Engineering,3 unit(s),"Sources and effects of air pollution. Design aspects of mitigation, abatement, and strategies for control of air pollution and subsequent water and soil pollution.","Prerequisite(s): CHE 110A or MATH 33LA with a grade of C- or better, instructor consent.",,Grading: Letter Graded,,,Sustainability Focused - SDG 12: Responsible Consumption and Production ,
CHE,142,Principles of Thermal Analysis,,"Principles and practice of thermal analysis. Basic theory and skills development of thermogravimetry and calorimetry. Analysis of devolatilization, heating, and cooling of materials/samples.",Prerequisite(s): Senior standing or instructor consent.,,Grading: Letter Graded,,,,
CHE,151,Process Engineering Thermodynamics,4 unit(s),"Analysis of the ideal and real behavior of gases, liquids and solids from a macroscopic viewpoint; 1st and 2nd Law; phase rule, volumetric properties of fluids; heat effects; solution theory and applications; vapor-liquid and solid-solid equilibrium; chemical reaction equilibria.",Prerequisite(s): CHE 115 and ENGR 10,,Grading: Letter Graded,,,,
CHE,158,Kinetics and Reactor Design,3 unit(s),Analysis of unsteady chemical processes with emphasis on kinetics of reaction and application of fundamental principles to the design and operation of commercial reactors.,"Prerequisite(s): CHE 115, CHE 151, CHE 160A, CHE 162 and CHE 190 (with an average of “C” or better in the five courses); ENGR 100W.",,Grading: Letter Graded,,,,
CHE,160A,Unit Operations I,4 unit(s),"Materials transportation, fluid metering, mixing, sedimentation, filtration, heat exchange and evaporation; types of equipment used and numerous practical applications. Introduction to transport theory.",Prerequisite(s): CHE 115 and CHE 190.,,Grading: Letter Graded,,,,
CHE,160B,Unit Operations II,4 unit(s),"Continuation of CHE 160A. Mass transfer operations, diffusion, absorption, extraction, distillation, humidification, membrane separations, drying and crystallization. Field trips to process industries. Integrate global and social issues in engineering.","Prerequisite(s): CHE 115, CHE 151, CHE 160A, CHE 162, and CHE 190 (with an average of “C” or better in the five courses); ENGR 100W. Allowed Declared Major: Chemical Engineering.",,Grading: Letter Graded,,,,
